episode,date,rubric,title,source,mode,pages,word_count,md_path,html_path
32,2027-01-19,Пройди собеседование сегодня,"ARPU, ARPA, ARPPU: как читать среднюю выручку",ARPU / ARPA / ARPPU,ответ перед наймом,6,1457,episodes-md/032-arpu-arpa-arppu.md,episodes-html/032-arpu-arpa-arppu.html
33,2027-01-26,Как думают топ-аналитики,"Команда делает задачу, но уже забыла, зачем она это делает",G. E. M. Anscombe,разбор встречи,6,1183,episodes-md/033-g-e-m-anscombe.md,episodes-html/033-g-e-m-anscombe.html
34,2027-02-02,Пройди собеседование сегодня,MRR и ARR: как не перепутать подписку и случайные деньги,MRR / ARR,аудит решения,6,1456,episodes-md/034-mrr-arr.md,episodes-html/034-mrr-arr.html
35,2027-02-09,Как думают топ-аналитики,"Метрика стала решением, хотя за ошибку заплатит другой человек",Heather Douglas,диалог с кандидатом,6,1187,episodes-md/035-heather-douglas.md,episodes-html/035-heather-douglas.html
36,2027-02-16,Пройди собеседование сегодня,Trial-to-Paid: почему trial не всегда продает,Trial-to-Paid Conversion,сцена малого бизнеса,6,1451,episodes-md/036-trial-to-paid-conversion.md,episodes-html/036-trial-to-paid-conversion.html
37,2027-02-23,Как думают топ-аналитики,Роль в системе заставляет человека вести себя как другой пользователь,Sally Haslanger,разбор таблицы,6,1188,episodes-md/037-sally-haslanger.md,episodes-html/037-sally-haslanger.html
38,2027-03-02,Пройди собеседование сегодня,NRR и GRR: как удерживать и расширять выручку,NRR / GRR,проверка обещания,6,1462,episodes-md/038-nrr-grr.md,episodes-html/038-nrr-grr.html
39,2027-03-09,Как думают топ-аналитики,Вы улучшили измерение и внезапно изменили сам продукт,Hasok Chang,разбор ошибки языка,6,1189,episodes-md/039-hasok-chang.md,episodes-html/039-hasok-chang.html
40,2027-03-16,Пройди собеседование сегодня,"NPS, CSAT, CES: что опросы показывают, а что скрывают",NPS / CSAT / CES,ответ перед наймом,6,1459,episodes-md/040-nps-csat-ces.md,episodes-html/040-nps-csat-ces.html
41,2027-03-23,Как думают топ-аналитики,"Доверие появляется не после слов, а после принятых обязательств",Robert Brandom,разбор встречи,6,1182,episodes-md/041-robert-brandom.md,episodes-html/041-robert-brandom.html
42,2027-03-30,Как думают топ-аналитики,"Компания тонет не в задачах, а в среде информации",Luciano Floridi,аудит решения,6,1187,episodes-md/042-luciano-floridi.md,episodes-html/042-luciano-floridi.html
43,2027-04-06,Как думают топ-аналитики,"Умный человек молчит на встрече, и компания теряет знание",Miranda Fricker,диалог с кандидатом,6,1178,episodes-md/043-miranda-fricker.md,episodes-html/043-miranda-fricker.html
44,2027-04-13,Как думают топ-аналитики,"Запуск выстрелил, но никто не знает почему",Duncan Pritchard,сцена малого бизнеса,6,1177,episodes-md/044-duncan-pritchard.md,episodes-html/044-duncan-pritchard.html
45,2027-04-20,Как думают топ-аналитики,"То, что сработало в одном рынке, ломается в другом",Nancy Cartwright,разбор таблицы,6,1190,episodes-md/045-nancy-cartwright.md,episodes-html/045-nancy-cartwright.html
46,2027-04-27,Как думают топ-аналитики,"Клиент решил раньше, чем успел объяснить свое решение",Patricia Churchland,проверка обещания,6,1181,episodes-md/046-patricia-churchland.md,episodes-html/046-patricia-churchland.html
47,2027-05-04,Как думают топ-аналитики,"Вы не имеете права утверждать то, чего еще не знаете",Timothy Williamson,разбор ошибки языка,6,1185,episodes-md/047-timothy-williamson.md,episodes-html/047-timothy-williamson.html
48,2027-05-11,Как думают топ-аналитики,"Инструмент уже думает вместе с вами, но вы называете его просто софтом",Andy Clark,ответ перед наймом,6,1186,episodes-md/048-andy-clark.md,episodes-html/048-andy-clark.html
49,2027-05-18,Как думают топ-аналитики,"Пользователь видит не экран, а возможность действовать",Susanna Siegel,разбор встречи,6,1183,episodes-md/049-susanna-siegel.md,episodes-html/049-susanna-siegel.html
50,2027-05-25,Как думают топ-аналитики,"Люди доверяют ответу не потому, что он длинный",Jennifer Nagel,аудит решения,6,1189,episodes-md/050-jennifer-nagel.md,episodes-html/050-jennifer-nagel.html
51,2027-06-01,Как думают топ-аналитики,"Лучший сотрудник знает больше, чем может объяснить в регламенте",Michael Polanyi,диалог с кандидатом,6,1176,episodes-md/051-michael-polanyi.md,episodes-html/051-michael-polanyi.html
