episode,date,weekday,rubric,title,source,status
25,2026-12-01,Tuesday,Как думают топ-аналитики,"Клиент сказал простую фразу, а вы перевели ее в неправильную задачу",Donald Davidson,planned
26,2026-12-08,Tuesday,Пройди собеседование сегодня,LTV: как считать ценность клиента без фантазии,Lifetime Value,planned
27,2026-12-15,Tuesday,Как думают топ-аналитики,"Все спорят о том же слове, но каждый держит в голове другой объект",Saul Kripke,planned
28,2026-12-22,Tuesday,Пройди собеседование сегодня,LTV:CAC: когда рост окупается,LTV:CAC Ratio,planned
29,2026-12-29,Tuesday,Как думают топ-аналитики,"Значение продукта находится не в презентации, а в среде клиента",Hilary Putnam,planned
30,2027-01-05,Tuesday,Пройди собеседование сегодня,CAC Payback: когда вернутся деньги на привлечение,CAC Payback Period,planned
31,2027-01-12,Tuesday,Как думают топ-аналитики,"План выглядит разумно, пока не проверили второй сценарий",David Lewis,planned
32,2027-01-19,Tuesday,Пройди собеседование сегодня,"ARPU, ARPA, ARPPU: как читать среднюю выручку",ARPU / ARPA / ARPPU,planned
33,2027-01-26,Tuesday,Как думают топ-аналитики,"Команда делает задачу, но уже забыла, зачем она это делает",G. E. M. Anscombe,planned
34,2027-02-02,Tuesday,Пройди собеседование сегодня,MRR и ARR: как не перепутать подписку и случайные деньги,MRR / ARR,planned
35,2027-02-09,Tuesday,Как думают топ-аналитики,"Метрика стала решением, хотя за ошибку заплатит другой человек",Heather Douglas,planned
36,2027-02-16,Tuesday,Пройди собеседование сегодня,Trial-to-Paid: почему trial не всегда продает,Trial-to-Paid Conversion,planned
37,2027-02-23,Tuesday,Как думают топ-аналитики,Роль в системе заставляет человека вести себя как другой пользователь,Sally Haslanger,planned
38,2027-03-02,Tuesday,Пройди собеседование сегодня,NRR и GRR: как удерживать и расширять выручку,NRR / GRR,planned
39,2027-03-09,Tuesday,Как думают топ-аналитики,Вы улучшили измерение и внезапно изменили сам продукт,Hasok Chang,planned
40,2027-03-16,Tuesday,Пройди собеседование сегодня,"NPS, CSAT, CES: что опросы показывают, а что скрывают",NPS / CSAT / CES,planned
41,2027-03-23,Tuesday,Как думают топ-аналитики,"Доверие появляется не после слов, а после принятых обязательств",Robert Brandom,planned
42,2027-03-30,Tuesday,Как думают топ-аналитики,"Компания тонет не в задачах, а в среде информации",Luciano Floridi,planned
43,2027-04-06,Tuesday,Как думают топ-аналитики,"Умный человек молчит на встрече, и компания теряет знание",Miranda Fricker,planned
44,2027-04-13,Tuesday,Как думают топ-аналитики,"Запуск выстрелил, но никто не знает почему",Duncan Pritchard,planned
45,2027-04-20,Tuesday,Как думают топ-аналитики,"То, что сработало в одном рынке, ломается в другом",Nancy Cartwright,planned
46,2027-04-27,Tuesday,Как думают топ-аналитики,"Клиент решил раньше, чем успел объяснить свое решение",Patricia Churchland,planned
47,2027-05-04,Tuesday,Как думают топ-аналитики,"Вы не имеете права утверждать то, чего еще не знаете",Timothy Williamson,planned
48,2027-05-11,Tuesday,Как думают топ-аналитики,"Инструмент уже думает вместе с вами, но вы называете его просто софтом",Andy Clark,planned
49,2027-05-18,Tuesday,Как думают топ-аналитики,"Пользователь видит не экран, а возможность действовать",Susanna Siegel,planned
50,2027-05-25,Tuesday,Как думают топ-аналитики,"Люди доверяют ответу не потому, что он длинный",Jennifer Nagel,planned
51,2027-06-01,Tuesday,Как думают топ-аналитики,"Лучший сотрудник знает больше, чем может объяснить в регламенте",Michael Polanyi,planned
